City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Beringovskiy,RU,63.05,179.3167,5.99,96,99,7.9,overcast clouds
293,La Libertad,EC,-2.2333,-80.9,74.43,74,97,10.45,overcast clouds
294,Saint-Joseph,RE,-21.3667,55.6167,75.56,83,52,9.78,broken clouds
295,Narsaq,GL,60.9167,-46.05,34.36,98,100,9.15,moderate rain
296,Rona De Sus,RO,47.9,24.05,36.0,99,100,4.03,overcast clouds
297,Lucea,JM,18.451,-78.1736,81.54,64,100,8.84,overcast clouds
298,Labrea,BR,-7.2586,-64.7981,95.94,42,100,3.27,overcast clouds
299,San Quintin,MX,30.4833,-115.95,69.58,43,0,3.15,clear sky
300,Khash,IR,28.2211,61.2158,56.19,34,75,3.53,broken clouds
301,Arrifes,PT,37.7667,-25.7,58.37,62,20,8.37,few clouds
302,Taoudenni,ML,22.6783,-3.9836,74.41,14,41,16.04,scattered clouds
303,Hendek,TR,40.7994,30.7481,62.65,72,100,8.37,light rain
304,Zavetnoye,RU,47.1194,43.8903,48.94,85,84,20.83,broken clouds
305,Guaruja,BR,-23.9931,-46.2564,79.32,74,76,9.04,broken clouds
306,Ginda,IN,30.6945,78.4932,47.35,21,0,7.43,clear sky
307,Sistranda,NO,63.7256,8.834,34.5,61,100,7.2,light snow
308,Bentiu,SS,9.2333,29.8333,90.39,26,51,4.7,broken clouds
309,Bardiyah,LY,31.7561,25.0865,68.61,83,100,17.52,overcast clouds
310,Trelew,AR,-43.249,-65.3051,74.19,25,3,16.46,clear sky
311,Dunedin,NZ,-45.8742,170.5036,52.14,62,6,4.59,clear sky
312,Novodmitriyevskaya,RU,44.8347,38.8772,70.52,38,54,25.21,light rain
313,Kushima,JP,31.4583,131.2333,55.4,75,44,3.76,scattered clouds
314,Dayong,CN,25.0209,118.2898,63.25,83,30,4.72,scattered clouds
315,Los Llanos De Aridane,ES,28.6585,-17.9182,62.67,72,43,16.22,scattered clouds
316,Yerbogachen,RU,61.2767,108.0108,3.11,95,100,8.43,overcast clouds
317,Upington,ZA,-28.4478,21.2561,88.47,10,0,16.15,clear sky
318,Ardakan,IR,32.31,54.0175,60.28,39,5,5.66,clear sky
319,Caconda,AO,-13.7333,15.0667,68.38,67,80,4.52,broken clouds
320,Henties Bay,NA,-22.116,14.2845,63.52,81,1,12.68,clear sky
321,Maniitsoq,GL,65.4167,-52.9,32.85,98,100,21.56,snow
322,San Carlos De Bariloche,AR,-41.1456,-71.3082,69.55,33,69,7.87,broken clouds
323,Ankang,CN,32.68,109.0172,39.29,90,1,1.25,clear sky
324,Ukiah,US,39.1502,-123.2078,59.72,63,0,1.92,clear sky
325,Palmer,US,42.1584,-72.3287,37.4,65,88,7.52,overcast clouds
326,Onguday,RU,50.75,86.15,8.53,94,80,2.64,broken clouds
327,Lompoc,US,34.6391,-120.4579,68.5,29,0,4.68,clear sky
328,Itarare,BR,-24.1125,-49.3317,82.78,57,79,9.13,broken clouds
329,Honiara,SB,-9.4333,159.95,78.24,86,57,2.68,light rain
330,Plettenberg Bay,ZA,-34.0527,23.3716,64.29,78,62,4.41,broken clouds
331,Diego De Almagro,CL,-26.3667,-70.05,80.47,14,0,11.97,clear sky
332,Chiredzi,ZW,-21.05,31.6667,86.99,29,1,6.38,clear sky
333,Ahipara,NZ,-35.1667,173.1667,59.16,91,73,1.16,broken clouds
334,Vostok,RU,46.4856,135.8833,4.03,97,100,3.69,overcast clouds
335,Abu Samrah,SY,35.3029,37.1841,64.62,52,99,6.64,overcast clouds
336,Praia Da Vitoria,PT,38.7333,-27.0667,59.94,59,23,6.24,few clouds
337,Hazaribag,IN,23.9833,85.35,57.42,58,58,3.06,broken clouds
338,La Ronge,CA,55.1001,-105.2842,34.61,84,37,13.35,scattered clouds
339,Kamaishi,JP,39.2667,141.8833,44.69,79,8,8.46,clear sky
340,Abha,SA,18.2164,42.5053,58.73,36,0,12.08,clear sky
341,Nanortalik,GL,60.1432,-45.2371,36.18,92,100,12.86,light rain
342,Gusinoye Ozero,RU,51.1144,106.2614,8.85,90,73,4.5,broken clouds
